- Kathalina Guerrero Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Gajardo (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rubén Farfán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lázaro Romero (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sara Bedoya Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alexandra Pavez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Parraguez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bayron Barrera (2009) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Antony Henríquez (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jhoagny Contreras (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Moya Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Tau Farías Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Troncoso (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Marcotti (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Melany Letelier Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Michael Ríos Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Erick Guerrero Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Miguel Riffo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Pablo Sánchez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jaime Vera Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Cristián Leiva Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jorge López Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Guillermo Carreño Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Andrés Carrasco Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luis Musrri Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Víctor Rivero Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Patrik Rojas Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. José Cantillana Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Pablo Ramírez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Miguel Ponce Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Ugarte Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. David Mir Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Miguel Ramírez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Claudio Quintiliani Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Manuel Villalobos Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Rodrigo Guerrero Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fernando Díaz Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Hernán Castro Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Rodríguez Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kirlye Navarro Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Paula Espinoza Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Valentina Fuentes Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. María José Torres Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Rodrigo Naranjo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Blázquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Piero Arredondo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Abel Hidalgo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Farías | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Jonathan Rebolledo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Mauricio Zenteno | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Leonardo Espinoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
